card_number,as_of,market_usd,source
OP02-089p3,2025-11-17,21.68,tcgplayer
OP02-089p3,2025-11-24,20.07,tcgplayer
OP02-089p3,2025-12-01,20.17,tcgplayer
OP02-089p3,2025-12-08,20.35,tcgplayer
OP02-089p3,2025-12-15,20.24,tcgplayer
OP02-089p3,2025-12-22,19.79,tcgplayer
OP02-089p3,2025-12-29,18.54,tcgplayer
OP02-089p3,2026-01-05,18.10,tcgplayer
OP02-089p3,2026-01-12,17.58,tcgplayer
OP02-089p3,2026-01-19,17.23,tcgplayer
OP02-089p3,2026-01-26,17.15,tcgplayer
OP02-089p3,2026-02-02,16.84,tcgplayer
OP02-089p3,2026-02-09,16.40,tcgplayer
OP02-089p3,2026-02-16,16.41,tcgplayer
OP02-089p3,2026-02-23,16.33,tcgplayer
OP02-089p3,2026-03-02,16.22,tcgplayer
OP02-089p3,2026-03-09,16.12,tcgplayer
OP02-089p3,2026-03-16,16.15,tcgplayer
OP02-089p3,2026-03-23,15.95,tcgplayer
OP02-089p3,2026-03-30,15.95,tcgplayer
OP02-089p3,2026-04-06,15.71,tcgplayer
OP02-089p3,2026-04-13,13.43,tcgplayer
OP02-089p3,2026-04-20,11.74,tcgplayer
OP02-089p3,2026-04-27,10.58,tcgplayer
OP02-089p3,2026-05-04,8.89,tcgplayer
OP02-089p3,2026-05-11,7.28,tcgplayer
OP02-089p3,2026-05-18,6.67,tcgplayer
OP02-089p3,2026-05-25,6.02,tcgplayer
OP02-089p3,2026-06-01,5.56,tcgplayer
OP02-089p3,2026-06-08,5.44,tcgplayer
OP02-089p3,2026-06-15,5.48,tcgplayer
OP02-089p3,2026-06-22,5.64,tcgplayer
OP02-089p3,2026-06-29,5.66,tcgplayer
OP02-089p3,2026-07-06,5.67,tcgplayer
OP02-089p3,2026-07-13,5.70,tcgplayer
OP02-089p3,2026-07-20,5.55,tcgplayer
OP02-089p3,2026-07-27,5.28,tcgplayer
OP02-089p3,2026-08-03,5.04,tcgplayer
OP02-089p3,2026-08-10,5.02,tcgplayer
OP02-089p3,2026-08-17,4.93,tcgplayer
OP02-089p3,2026-08-24,4.92,tcgplayer
OP02-089p3,2026-08-31,5.20,tcgplayer
OP02-089p3,2026-09-05,5.20,limitless
OP02-096,2026-09-05,0.45,limitless
OP02-096p3,2025-09-08,13.15,tcgplayer
OP02-096p3,2025-09-15,13.01,tcgplayer
OP02-096p3,2025-09-22,12.74,tcgplayer
OP02-096p3,2025-09-29,11.81,tcgplayer
OP02-096p3,2025-10-06,10.65,tcgplayer
OP02-096p3,2025-10-13,9.65,tcgplayer
OP02-096p3,2025-10-20,9.38,tcgplayer
OP02-096p3,2025-10-27,9.59,tcgplayer
OP02-096p3,2025-11-03,9.04,tcgplayer
OP02-096p3,2025-11-10,8.91,tcgplayer
OP02-096p3,2025-11-17,8.08,tcgplayer
OP02-096p3,2025-11-24,7.40,tcgplayer
OP02-096p3,2025-12-01,7.84,tcgplayer
OP02-096p3,2025-12-08,8.85,tcgplayer
OP02-096p3,2025-12-15,10.57,tcgplayer
OP02-096p3,2025-12-22,10.79,tcgplayer
OP02-096p3,2025-12-29,10.36,tcgplayer
OP02-096p3,2026-01-05,10.03,tcgplayer
OP02-096p3,2026-01-12,10.11,tcgplayer
OP02-096p3,2026-01-19,11.05,tcgplayer
OP02-096p3,2026-01-26,11.07,tcgplayer
OP02-096p3,2026-02-02,10.85,tcgplayer
OP02-096p3,2026-02-09,10.89,tcgplayer
OP02-096p3,2026-02-16,10.83,tcgplayer
OP02-096p3,2026-02-23,10.72,tcgplayer
OP02-096p3,2026-03-02,10.72,tcgplayer
OP02-096p3,2026-03-09,10.72,tcgplayer
OP02-096p3,2026-03-16,10.67,tcgplayer
OP02-096p3,2026-03-23,9.71,tcgplayer
OP02-096p3,2026-03-30,8.53,tcgplayer
OP02-096p3,2026-04-06,6.28,tcgplayer
OP02-096p3,2026-04-13,5.45,tcgplayer
OP02-096p3,2026-04-20,5.53,tcgplayer
OP02-096p3,2026-04-27,5.61,tcgplayer
OP02-096p3,2026-05-04,5.58,tcgplayer
OP02-096p3,2026-05-11,5.71,tcgplayer
OP02-096p3,2026-05-18,6.00,tcgplayer
OP02-096p3,2026-05-25,6.04,tcgplayer
OP02-096p3,2026-06-01,6.06,tcgplayer
OP02-096p3,2026-06-08,6.29,tcgplayer
OP02-096p3,2026-06-15,6.40,tcgplayer
OP02-096p3,2026-06-22,6.27,tcgplayer
OP02-096p3,2026-06-29,6.28,tcgplayer
OP02-096p3,2026-07-06,6.31,tcgplayer
OP02-096p3,2026-07-13,6.32,tcgplayer
OP02-096p3,2026-07-20,6.42,tcgplayer
OP02-096p3,2026-07-27,6.18,tcgplayer
OP02-096p3,2026-08-03,6.12,tcgplayer
OP02-096p3,2026-08-10,6.12,tcgplayer
OP02-096p3,2026-08-17,6.12,tcgplayer
OP02-096p3,2026-08-24,6.08,tcgplayer
OP02-096p3,2026-08-31,5.98,tcgplayer
OP02-096p3,2026-09-05,6.05,limitless
OP02-099,2026-09-05,0.41,limitless
OP02-099p4,2025-09-08,3.25,tcgplayer
OP02-099p4,2025-09-15,3.51,tcgplayer
OP02-099p4,2025-09-22,3.55,tcgplayer
OP02-099p4,2025-09-29,3.66,tcgplayer
OP02-099p4,2025-10-06,3.86,tcgplayer
OP02-099p4,2025-10-13,3.96,tcgplayer
OP02-099p4,2025-10-20,4.50,tcgplayer
OP02-099p4,2025-10-27,4.51,tcgplayer
OP02-099p4,2025-11-03,4.62,tcgplayer
OP02-099p4,2025-11-10,4.67,tcgplayer
OP02-099p4,2025-11-17,4.74,tcgplayer
OP02-099p4,2025-11-24,4.48,tcgplayer
OP02-099p4,2025-12-01,4.57,tcgplayer
OP02-099p4,2025-12-08,5.35,tcgplayer
OP02-099p4,2025-12-15,6.79,tcgplayer
OP02-099p4,2025-12-22,8.35,tcgplayer
OP02-099p4,2025-12-29,9.47,tcgplayer
OP02-099p4,2026-01-05,10.11,tcgplayer
OP02-099p4,2026-01-12,11.11,tcgplayer
OP02-099p4,2026-01-19,11.43,tcgplayer
OP02-099p4,2026-01-26,11.06,tcgplayer
OP02-099p4,2026-02-02,10.63,tcgplayer
OP02-099p4,2026-02-09,10.62,tcgplayer
OP02-099p4,2026-02-16,10.70,tcgplayer
OP02-099p4,2026-02-23,10.70,tcgplayer
OP02-099p4,2026-03-02,9.81,tcgplayer
OP02-099p4,2026-03-09,7.98,tcgplayer
OP02-099p4,2026-03-16,6.53,tcgplayer
OP02-099p4,2026-03-23,4.98,tcgplayer
OP02-099p4,2026-03-30,5.21,tcgplayer
OP02-099p4,2026-04-06,4.96,tcgplayer
OP02-099p4,2026-04-13,4.96,tcgplayer
OP02-099p4,2026-04-20,4.71,tcgplayer
OP02-099p4,2026-04-27,4.54,tcgplayer
OP02-099p4,2026-05-04,4.45,tcgplayer
OP02-099p4,2026-05-11,4.59,tcgplayer
OP02-099p4,2026-05-18,4.57,tcgplayer
OP02-099p4,2026-05-25,4.72,tcgplayer
OP02-099p4,2026-06-01,4.72,tcgplayer
OP02-099p4,2026-06-08,4.72,tcgplayer
OP02-099p4,2026-06-15,4.94,tcgplayer
OP02-099p4,2026-06-22,5.32,tcgplayer
OP02-099p4,2026-06-29,5.60,tcgplayer
OP02-099p4,2026-07-06,5.49,tcgplayer
OP02-099p4,2026-07-13,5.43,tcgplayer
OP02-099p4,2026-07-20,5.39,tcgplayer
OP02-099p4,2026-07-27,5.38,tcgplayer
OP02-099p4,2026-08-03,5.32,tcgplayer
OP02-099p4,2026-08-10,5.17,tcgplayer
OP02-099p4,2026-08-17,5.06,tcgplayer
OP02-099p4,2026-08-24,5.04,tcgplayer
OP02-099p4,2026-08-31,5.00,tcgplayer
OP02-099p4,2026-09-05,5.00,limitless
OP02-106,2026-09-05,0.20,limitless
OP02-106p3,2025-09-08,0.39,tcgplayer
OP02-106p3,2025-09-15,0.39,tcgplayer
OP02-106p3,2025-09-22,0.40,tcgplayer
OP02-106p3,2025-09-29,0.37,tcgplayer
OP02-106p3,2025-10-06,0.35,tcgplayer
OP02-106p3,2025-10-13,0.36,tcgplayer
OP02-106p3,2025-10-20,0.35,tcgplayer
OP02-106p3,2025-10-27,0.36,tcgplayer
OP02-106p3,2025-11-03,0.35,tcgplayer
OP02-106p3,2025-11-10,0.37,tcgplayer
OP02-106p3,2025-11-17,0.37,tcgplayer
OP02-106p3,2025-11-24,0.36,tcgplayer
OP02-106p3,2025-12-01,0.35,tcgplayer
OP02-106p3,2025-12-08,0.38,tcgplayer
OP02-106p3,2025-12-15,0.38,tcgplayer
OP02-106p3,2025-12-22,0.38,tcgplayer
OP02-106p3,2025-12-29,0.38,tcgplayer
OP02-106p3,2026-01-05,0.36,tcgplayer
OP02-106p3,2026-01-12,0.36,tcgplayer
OP02-106p3,2026-01-19,0.35,tcgplayer
OP02-106p3,2026-01-26,0.38,tcgplayer
OP02-106p3,2026-02-02,0.35,tcgplayer
OP02-106p3,2026-02-09,0.34,tcgplayer
OP02-106p3,2026-02-16,0.32,tcgplayer
OP02-106p3,2026-02-23,0.31,tcgplayer
OP02-106p3,2026-03-02,0.31,tcgplayer
OP02-106p3,2026-03-09,0.31,tcgplayer
OP02-106p3,2026-03-16,0.30,tcgplayer
OP02-106p3,2026-03-23,0.30,tcgplayer
OP02-106p3,2026-03-30,0.29,tcgplayer
OP02-106p3,2026-04-06,0.25,tcgplayer
OP02-106p3,2026-04-13,0.26,tcgplayer
OP02-106p3,2026-04-20,0.26,tcgplayer
OP02-106p3,2026-04-27,0.23,tcgplayer
OP02-106p3,2026-05-04,0.23,tcgplayer
OP02-106p3,2026-05-11,0.23,tcgplayer
OP02-106p3,2026-05-18,0.23,tcgplayer
OP02-106p3,2026-05-25,0.23,tcgplayer
OP02-106p3,2026-06-01,0.23,tcgplayer
OP02-106p3,2026-06-08,0.22,tcgplayer
OP02-106p3,2026-06-15,0.24,tcgplayer
OP02-106p3,2026-06-22,0.25,tcgplayer
OP02-106p3,2026-06-29,0.24,tcgplayer
OP02-106p3,2026-07-06,0.24,tcgplayer
OP02-106p3,2026-07-13,0.24,tcgplayer
OP02-106p3,2026-07-20,0.25,tcgplayer
OP02-106p3,2026-07-27,0.25,tcgplayer
OP02-106p3,2026-08-03,0.26,tcgplayer
OP02-106p3,2026-08-10,0.27,tcgplayer
OP02-106p3,2026-08-17,0.27,tcgplayer
OP02-106p3,2026-08-24,0.27,tcgplayer
OP02-106p3,2026-08-31,0.26,tcgplayer
OP02-106p3,2026-09-05,0.26,limitless
OP02-106p4,2025-09-08,3.76,tcgplayer
OP02-106p4,2025-09-15,3.71,tcgplayer
OP02-106p4,2025-09-22,3.80,tcgplayer
OP02-106p4,2025-09-29,3.79,tcgplayer
OP02-106p4,2025-10-06,3.89,tcgplayer
OP02-106p4,2025-10-13,4.04,tcgplayer
OP02-106p4,2025-10-20,3.96,tcgplayer
OP02-106p4,2025-10-27,3.85,tcgplayer
OP02-106p4,2025-11-03,3.53,tcgplayer
OP02-106p4,2025-11-10,3.42,tcgplayer
OP02-106p4,2025-11-17,3.42,tcgplayer
OP02-106p4,2025-11-24,3.11,tcgplayer
OP02-106p4,2025-12-01,2.97,tcgplayer
OP02-106p4,2025-12-08,3.00,tcgplayer
OP02-106p4,2025-12-15,2.91,tcgplayer
OP02-106p4,2025-12-22,2.82,tcgplayer
OP02-106p4,2025-12-29,2.87,tcgplayer
OP02-106p4,2026-01-05,2.88,tcgplayer
OP02-106p4,2026-01-12,3.03,tcgplayer
OP02-106p4,2026-01-19,3.13,tcgplayer
OP02-106p4,2026-01-26,3.17,tcgplayer
OP02-106p4,2026-02-02,3.17,tcgplayer
OP02-106p4,2026-02-09,3.17,tcgplayer
OP02-106p4,2026-02-16,3.10,tcgplayer
OP02-106p4,2026-02-23,3.07,tcgplayer
OP02-106p4,2026-03-02,3.05,tcgplayer
OP02-106p4,2026-03-09,2.95,tcgplayer
OP02-106p4,2026-03-16,2.80,tcgplayer
OP02-106p4,2026-03-23,2.71,tcgplayer
OP02-106p4,2026-03-30,2.59,tcgplayer
OP02-106p4,2026-04-06,2.46,tcgplayer
OP02-106p4,2026-04-13,2.29,tcgplayer
OP02-106p4,2026-04-20,2.24,tcgplayer
OP02-106p4,2026-04-27,2.22,tcgplayer
OP02-106p4,2026-05-04,2.19,tcgplayer
OP02-106p4,2026-05-11,2.16,tcgplayer
OP02-106p4,2026-05-18,2.16,tcgplayer
OP02-106p4,2026-05-25,2.13,tcgplayer
OP02-106p4,2026-06-01,2.09,tcgplayer
OP02-106p4,2026-06-08,2.07,tcgplayer
OP02-106p4,2026-06-15,2.09,tcgplayer
OP02-106p4,2026-06-22,2.06,tcgplayer
OP02-106p4,2026-06-29,1.95,tcgplayer
OP02-106p4,2026-07-06,1.90,tcgplayer
OP02-106p4,2026-07-13,1.89,tcgplayer
OP02-106p4,2026-07-20,1.89,tcgplayer
OP02-106p4,2026-07-27,1.86,tcgplayer
OP02-106p4,2026-08-03,1.85,tcgplayer
OP02-106p4,2026-08-10,1.85,tcgplayer
OP02-106p4,2026-08-17,1.80,tcgplayer
OP02-106p4,2026-08-24,1.78,tcgplayer
OP02-106p4,2026-08-31,1.78,tcgplayer
OP02-106p4,2026-09-05,1.78,limitless
OP02-114,2026-09-05,0.50,limitless
OP02-114p3,2025-09-08,6.52,tcgplayer
OP02-114p3,2025-09-15,6.31,tcgplayer
OP02-114p3,2025-09-22,6.38,tcgplayer
OP02-114p3,2025-09-29,7.15,tcgplayer
OP02-114p3,2025-10-06,6.87,tcgplayer
OP02-114p3,2025-10-13,6.15,tcgplayer
OP02-114p3,2025-10-20,4.83,tcgplayer
OP02-114p3,2025-10-27,4.64,tcgplayer
OP02-114p3,2025-11-03,4.80,tcgplayer
OP02-114p3,2025-11-10,4.56,tcgplayer
OP02-114p3,2025-11-17,4.00,tcgplayer
OP02-114p3,2025-11-24,3.70,tcgplayer
OP02-114p3,2025-12-01,3.84,tcgplayer
OP02-114p3,2025-12-08,3.90,tcgplayer
OP02-114p3,2025-12-15,4.12,tcgplayer
OP02-114p3,2025-12-22,4.34,tcgplayer
OP02-114p3,2025-12-29,4.47,tcgplayer
OP02-114p3,2026-01-05,4.84,tcgplayer
OP02-114p3,2026-01-12,4.91,tcgplayer
OP02-114p3,2026-01-19,5.04,tcgplayer
OP02-114p3,2026-01-26,5.13,tcgplayer
OP02-114p3,2026-02-02,5.18,tcgplayer
OP02-114p3,2026-02-09,5.32,tcgplayer
OP02-114p3,2026-02-16,5.49,tcgplayer
OP02-114p3,2026-02-23,4.99,tcgplayer
OP02-114p3,2026-03-02,4.78,tcgplayer
OP02-114p3,2026-03-09,4.45,tcgplayer
OP02-114p3,2026-03-16,4.86,tcgplayer
OP02-114p3,2026-03-23,4.92,tcgplayer
OP02-114p3,2026-03-30,4.88,tcgplayer
OP02-114p3,2026-04-06,4.79,tcgplayer
OP02-114p3,2026-04-13,4.79,tcgplayer
OP02-114p3,2026-04-20,4.71,tcgplayer
OP02-114p3,2026-04-27,4.72,tcgplayer
OP02-114p3,2026-05-04,4.78,tcgplayer
OP02-114p3,2026-05-11,5.06,tcgplayer
OP02-114p3,2026-05-18,5.23,tcgplayer
OP02-114p3,2026-05-25,5.53,tcgplayer
OP02-114p3,2026-06-01,5.33,tcgplayer
OP02-114p3,2026-06-08,5.42,tcgplayer
OP02-114p3,2026-06-15,5.35,tcgplayer
OP02-114p3,2026-06-22,5.34,tcgplayer
OP02-114p3,2026-06-29,5.10,tcgplayer
OP02-114p3,2026-07-06,5.19,tcgplayer
OP02-114p3,2026-07-13,5.22,tcgplayer
OP02-114p3,2026-07-20,5.23,tcgplayer
OP02-114p3,2026-07-27,5.06,tcgplayer
OP02-114p3,2026-08-03,5.04,tcgplayer
OP02-114p3,2026-08-10,4.84,tcgplayer
OP02-114p3,2026-08-17,4.80,tcgplayer
OP02-114p3,2026-08-24,4.70,tcgplayer
OP02-114p3,2026-08-31,4.65,tcgplayer
OP02-114p3,2026-09-05,4.65,limitless
OP02-117,2026-09-05,0.15,limitless
OP02-117p1,2025-09-08,0.22,tcgplayer
OP02-117p1,2025-09-15,0.22,tcgplayer
OP02-117p1,2025-09-22,0.23,tcgplayer
OP02-117p1,2025-09-29,0.23,tcgplayer
OP02-117p1,2025-10-06,0.22,tcgplayer
OP02-117p1,2025-10-13,0.21,tcgplayer
OP02-117p1,2025-10-20,0.21,tcgplayer
OP02-117p1,2025-10-27,0.22,tcgplayer
OP02-117p1,2025-11-03,0.24,tcgplayer
OP02-117p1,2025-11-10,0.24,tcgplayer
OP02-117p1,2025-11-17,0.23,tcgplayer
OP02-117p1,2025-11-24,0.22,tcgplayer
OP02-117p1,2025-12-01,0.22,tcgplayer
OP02-117p1,2025-12-08,0.23,tcgplayer
OP02-117p1,2025-12-15,0.22,tcgplayer
OP02-117p1,2025-12-22,0.21,tcgplayer
OP02-117p1,2025-12-29,0.21,tcgplayer
OP02-117p1,2026-01-05,0.23,tcgplayer
OP02-117p1,2026-01-12,0.28,tcgplayer
OP02-117p1,2026-01-19,0.29,tcgplayer
OP02-117p1,2026-01-26,0.28,tcgplayer
OP02-117p1,2026-02-02,0.32,tcgplayer
OP02-117p1,2026-02-09,0.28,tcgplayer
OP02-117p1,2026-02-16,0.29,tcgplayer
OP02-117p1,2026-02-23,0.28,tcgplayer
OP02-117p1,2026-03-02,0.28,tcgplayer
OP02-117p1,2026-03-09,0.27,tcgplayer
OP02-117p1,2026-03-16,0.25,tcgplayer
OP02-117p1,2026-03-23,0.25,tcgplayer
OP02-117p1,2026-03-30,0.24,tcgplayer
OP02-117p1,2026-04-06,0.24,tcgplayer
OP02-117p1,2026-04-13,0.24,tcgplayer
OP02-117p1,2026-04-20,0.28,tcgplayer
OP02-117p1,2026-04-27,0.30,tcgplayer
OP02-117p1,2026-05-04,0.36,tcgplayer
OP02-117p1,2026-05-11,0.35,tcgplayer
OP02-117p1,2026-05-18,0.36,tcgplayer
OP02-117p1,2026-05-25,0.34,tcgplayer
OP02-117p1,2026-06-01,0.34,tcgplayer
OP02-117p1,2026-06-08,0.36,tcgplayer
OP02-117p1,2026-06-15,0.32,tcgplayer
OP02-117p1,2026-06-22,0.32,tcgplayer
OP02-117p1,2026-06-29,0.32,tcgplayer
OP02-117p1,2026-07-06,0.33,tcgplayer
OP02-117p1,2026-07-13,0.32,tcgplayer
OP02-117p1,2026-07-20,0.31,tcgplayer
OP02-117p1,2026-07-27,0.30,tcgplayer
OP02-117p1,2026-08-03,0.30,tcgplayer
OP02-117p1,2026-08-10,0.30,tcgplayer
OP02-117p1,2026-08-17,0.25,tcgplayer
OP02-117p1,2026-08-24,0.23,tcgplayer
OP02-117p1,2026-08-31,0.23,tcgplayer
OP02-117p1,2026-09-05,0.23,limitless
OP02-117p2,2025-09-08,0.87,tcgplayer
OP02-117p2,2025-09-15,0.84,tcgplayer
OP02-117p2,2025-09-22,0.83,tcgplayer
OP02-117p2,2025-09-29,0.81,tcgplayer
OP02-117p2,2025-10-06,0.81,tcgplayer
OP02-117p2,2025-10-13,0.80,tcgplayer
OP02-117p2,2025-10-20,0.81,tcgplayer
OP02-117p2,2025-10-27,0.76,tcgplayer
OP02-117p2,2025-11-03,0.74,tcgplayer
OP02-117p2,2025-11-10,0.72,tcgplayer
OP02-117p2,2025-11-17,0.70,tcgplayer
OP02-117p2,2025-11-24,0.62,tcgplayer
OP02-117p2,2025-12-01,0.60,tcgplayer
OP02-117p2,2025-12-08,0.67,tcgplayer
OP02-117p2,2025-12-15,0.73,tcgplayer
OP02-117p2,2025-12-22,0.75,tcgplayer
OP02-117p2,2025-12-29,0.83,tcgplayer
OP02-117p2,2026-01-05,1.91,tcgplayer
OP02-117p2,2026-01-12,1.93,tcgplayer
OP02-117p2,2026-01-19,2.16,tcgplayer
OP02-117p2,2026-01-26,2.36,tcgplayer
OP02-117p2,2026-02-02,2.62,tcgplayer
OP02-117p2,2026-02-09,2.51,tcgplayer
OP02-117p2,2026-02-16,2.71,tcgplayer
OP02-117p2,2026-02-23,2.83,tcgplayer
OP02-117p2,2026-03-02,2.97,tcgplayer
OP02-117p2,2026-03-09,3.16,tcgplayer
OP02-117p2,2026-03-16,3.20,tcgplayer
OP02-117p2,2026-03-23,3.00,tcgplayer
OP02-117p2,2026-03-30,3.00,tcgplayer
OP02-117p2,2026-04-06,2.73,tcgplayer
OP02-117p2,2026-04-13,2.57,tcgplayer
OP02-117p2,2026-04-20,2.56,tcgplayer
OP02-117p2,2026-04-27,2.38,tcgplayer
OP02-117p2,2026-05-04,2.35,tcgplayer
OP02-117p2,2026-05-11,2.26,tcgplayer
OP02-117p2,2026-05-18,2.23,tcgplayer
OP02-117p2,2026-05-25,2.21,tcgplayer
OP02-117p2,2026-06-01,2.21,tcgplayer
OP02-117p2,2026-06-08,2.21,tcgplayer
OP02-117p2,2026-06-15,2.24,tcgplayer
OP02-117p2,2026-06-22,2.22,tcgplayer
OP02-117p2,2026-06-29,2.18,tcgplayer
OP02-117p2,2026-07-06,2.17,tcgplayer
OP02-117p2,2026-07-13,2.12,tcgplayer
OP02-117p2,2026-07-20,1.98,tcgplayer
OP02-117p2,2026-07-27,1.91,tcgplayer
OP02-117p2,2026-08-03,1.91,tcgplayer
OP02-117p2,2026-08-10,1.90,tcgplayer
OP02-117p2,2026-08-17,1.90,tcgplayer
OP02-117p2,2026-08-24,1.75,tcgplayer
OP02-117p2,2026-08-31,1.71,tcgplayer
OP02-117p2,2026-09-05,1.71,limitless
OP02-121,2026-09-05,2.12,limitless
OP02-121p2,2025-09-08,18.68,tcgplayer
OP02-121p2,2025-09-15,18.43,tcgplayer
OP02-121p2,2025-09-22,18.39,tcgplayer
OP02-121p2,2025-09-29,18.28,tcgplayer
OP02-121p2,2025-10-06,17.40,tcgplayer
OP02-121p2,2025-10-13,16.32,tcgplayer
OP02-121p2,2025-10-20,15.54,tcgplayer
OP02-121p2,2025-10-27,14.91,tcgplayer
OP02-121p2,2025-11-03,14.66,tcgplayer
OP02-121p2,2025-11-10,14.45,tcgplayer
OP02-121p2,2025-11-17,13.91,tcgplayer
OP02-121p2,2025-11-24,13.92,tcgplayer
OP02-121p2,2025-12-01,13.41,tcgplayer
OP02-121p2,2025-12-08,13.80,tcgplayer
OP02-121p2,2025-12-15,13.75,tcgplayer
OP02-121p2,2025-12-22,14.53,tcgplayer
OP02-121p2,2025-12-29,15.17,tcgplayer
OP02-121p2,2026-01-05,14.96,tcgplayer
OP02-121p2,2026-01-12,15.63,tcgplayer
OP02-121p2,2026-01-19,15.50,tcgplayer
OP02-121p2,2026-01-26,15.61,tcgplayer
OP02-121p2,2026-02-02,15.05,tcgplayer
OP02-121p2,2026-02-09,14.92,tcgplayer
OP02-121p2,2026-02-16,14.96,tcgplayer
OP02-121p2,2026-02-23,14.62,tcgplayer
OP02-121p2,2026-03-02,14.59,tcgplayer
OP02-121p2,2026-03-09,14.43,tcgplayer
OP02-121p2,2026-03-16,14.48,tcgplayer
OP02-121p2,2026-03-23,14.10,tcgplayer
OP02-121p2,2026-03-30,13.92,tcgplayer
OP02-121p2,2026-04-06,13.50,tcgplayer
OP02-121p2,2026-04-13,13.35,tcgplayer
OP02-121p2,2026-04-20,12.88,tcgplayer
OP02-121p2,2026-04-27,12.92,tcgplayer
OP02-121p2,2026-05-04,13.05,tcgplayer
OP02-121p2,2026-05-11,13.20,tcgplayer
OP02-121p2,2026-05-18,13.32,tcgplayer
OP02-121p2,2026-05-25,13.56,tcgplayer
OP02-121p2,2026-06-01,13.83,tcgplayer
OP02-121p2,2026-06-08,14.14,tcgplayer
OP02-121p2,2026-06-15,14.66,tcgplayer
OP02-121p2,2026-06-22,15.06,tcgplayer
OP02-121p2,2026-06-29,15.48,tcgplayer
OP02-121p2,2026-07-06,15.71,tcgplayer
OP02-121p2,2026-07-13,15.91,tcgplayer
OP02-121p2,2026-07-20,15.90,tcgplayer
OP02-121p2,2026-07-27,15.98,tcgplayer
OP02-121p2,2026-08-03,16.01,tcgplayer
OP02-121p2,2026-08-10,15.77,tcgplayer
OP02-121p2,2026-08-17,15.38,tcgplayer
OP02-121p2,2026-08-24,14.98,tcgplayer
OP02-121p2,2026-08-31,14.77,tcgplayer
OP02-121p2,2026-09-05,14.76,limitless
OP03-003,2026-09-05,0.21,limitless
OP03-003p2,2025-09-08,0.24,tcgplayer
OP03-003p2,2025-09-15,0.22,tcgplayer
OP03-003p2,2025-09-22,0.25,tcgplayer
OP03-003p2,2025-09-29,0.24,tcgplayer
OP03-003p2,2025-10-06,0.24,tcgplayer
OP03-003p2,2025-10-13,0.22,tcgplayer
OP03-003p2,2025-10-20,0.20,tcgplayer
OP03-003p2,2025-10-27,0.19,tcgplayer
OP03-003p2,2025-11-03,0.20,tcgplayer
OP03-003p2,2025-11-10,0.21,tcgplayer
OP03-003p2,2025-11-17,0.21,tcgplayer
OP03-003p2,2025-11-24,0.21,tcgplayer
OP03-003p2,2025-12-01,0.21,tcgplayer
OP03-003p2,2025-12-08,0.22,tcgplayer
OP03-003p2,2025-12-15,0.21,tcgplayer
OP03-003p2,2025-12-22,0.21,tcgplayer
OP03-003p2,2025-12-29,0.22,tcgplayer
OP03-003p2,2026-01-05,0.23,tcgplayer
OP03-003p2,2026-01-12,0.22,tcgplayer
OP03-003p2,2026-01-19,0.22,tcgplayer
OP03-003p2,2026-01-26,0.21,tcgplayer
OP03-003p2,2026-02-02,0.22,tcgplayer
OP03-003p2,2026-02-09,0.22,tcgplayer
OP03-003p2,2026-02-16,0.22,tcgplayer
OP03-003p2,2026-02-23,0.23,tcgplayer
OP03-003p2,2026-03-02,0.23,tcgplayer
OP03-003p2,2026-03-09,0.22,tcgplayer
OP03-003p2,2026-03-16,0.24,tcgplayer
OP03-003p2,2026-03-23,0.24,tcgplayer
OP03-003p2,2026-03-30,0.24,tcgplayer
OP03-003p2,2026-04-06,0.24,tcgplayer
OP03-003p2,2026-04-13,0.22,tcgplayer
OP03-003p2,2026-04-20,0.19,tcgplayer
OP03-003p2,2026-04-27,0.20,tcgplayer
OP03-003p2,2026-05-04,0.22,tcgplayer
OP03-003p2,2026-05-11,0.21,tcgplayer
OP03-003p2,2026-05-18,0.21,tcgplayer
OP03-003p2,2026-05-25,0.21,tcgplayer
OP03-003p2,2026-06-01,0.21,tcgplayer
OP03-003p2,2026-06-08,0.21,tcgplayer
OP03-003p2,2026-06-15,0.24,tcgplayer
OP03-003p2,2026-06-22,0.24,tcgplayer
OP03-003p2,2026-06-29,0.23,tcgplayer
OP03-003p2,2026-07-06,0.23,tcgplayer
OP03-003p2,2026-07-13,0.23,tcgplayer
OP03-003p2,2026-07-20,0.22,tcgplayer
OP03-003p2,2026-07-27,0.23,tcgplayer
OP03-003p2,2026-08-03,0.22,tcgplayer
OP03-003p2,2026-08-10,0.21,tcgplayer
OP03-003p2,2026-08-17,0.18,tcgplayer
OP03-003p2,2026-08-24,0.20,tcgplayer
OP03-003p2,2026-08-31,0.26,tcgplayer
OP03-003p2,2026-09-05,0.26,limitless
OP03-003p3,2025-09-08,4.01,tcgplayer
OP03-003p3,2025-09-15,4.04,tcgplayer
OP03-003p3,2025-09-22,4.15,tcgplayer
OP03-003p3,2025-09-29,4.15,tcgplayer
OP03-003p3,2025-10-06,4.26,tcgplayer
OP03-003p3,2025-10-13,4.47,tcgplayer
OP03-003p3,2025-10-20,4.70,tcgplayer
OP03-003p3,2025-10-27,4.57,tcgplayer
OP03-003p3,2025-11-03,4.74,tcgplayer
OP03-003p3,2025-11-10,4.73,tcgplayer
OP03-003p3,2025-11-17,4.73,tcgplayer
OP03-003p3,2025-11-24,4.66,tcgplayer
OP03-003p3,2025-12-01,4.63,tcgplayer
